greedy algorithm
     min      max      avg   stddev len test
0.025000 0.114000 0.041031 0.010823 6 01_test-example-1.txt
0.049000 0.125000 0.055722 0.012070 12 02_test-example-2.txt
0.047000 0.153000 0.054054 0.012095 14 03_test-example-3.txt
0.037000 0.138000 0.059751 0.012881 15 04_test-example-4.txt
0.030000 0.121000 0.046163 0.011686 14 05_test-example-5.txt
0.036000 0.126000 0.057701 0.012570 16 06_test-20x20-glider.txt
0.053000 0.162000 0.083142 0.015683 25 07_DoDo_14x14-9385-19.txt
0.091000 0.275000 0.145974 0.023445 57 08_DoDo_25x25-63474-39.txt
0.728000 1.252000 0.850593 0.069514 54 09_DoDo_150x150-223533-55.txt
0.860000 1.537000 1.011404 0.068757 16 10_DoDo_300x300-373546-15.txt
--------------------------------------------------------------------
1.956000 4.003000 2.405535 0.249524 229 total
